Feature / function,Baseline runtime,Optimized runtime,Runtime reduction,Baseline memory,Optimized memory,Memory reduction
mean_path_lengths_go,error / 119 s on Papkou,0.1-0.2 s,~1000x,N/A,N/A,N/A
all_mutation_effects,83.82 s,0.97 s,86x,349 MB,55 MB,6.3x
single_mutation_effects,44.17 s,0.75 s,59x,113 MB,3 MB,35x
global_idiosyncratic_index,30.87 s,0.78 s,40x,55 MB,<1 MB,>55x
"diminishing_returns_index / increasing_costs_index",~1.66 s,~0.06 s,15-44x,27 MB / 5 MB,1 MB / 31 MB,mixed
"gamma_statistic / gamma_star",165.44 s,8.5 s,20x,388 MB,12 MB,33x
extradimensional_bypass_analysis,67.90 s,64.0 s,1.06x,N/A,N/A,N/A
r_s_ratio,N/A,N/A,N/A,151 MB,147 MB,flat
"walsh_hadamard / higher_order_epistasis",N/A,N/A,N/A,guarded / skipped on wide landscapes,guarded / skipped,avoided multi-GB risk
