strain_id,strain,genus
DA21,Parabacteroides_merdae,Parabacteroides
DA26,Bacteroides_dorei,Bacteroides
DA57,Bacteroides_vulgatus,Bacteroides
DA173,Bacteroides_bouchesdurhonensis,Bacteroides
DA320,Bacteroides_cellulosilyticus,Bacteroides
DA347,Bacteroides_finegoldii,Bacteroides
DA486,Bacteroides_fragilis,Bacteroides
DA505,Bacteroides_ovatus,Bacteroides
DA701,Parabacteroides_johnsonii,Parabacteroides
DA729,Parabacteroides_goldsteinii,Parabacteroides
DA1114,Bacteroides_eggerthii,Bacteroides
DA1414,Bacteroides_faecis,Bacteroides
DA1439,Bacteroides_clarus,Bacteroides
DA1461,Bacteroides_oleiciplenus,Bacteroides
DA104,Parabacteroides_distasonis,Parabacteroides
DA16,Bacteroides_thetaiotaomicron,Bacteroides
DA103,Bacteroides_massiliensis,Bacteroides
DA183,Bacteroides_uniformis,Bacteroides
DA557,Bacteroides_fragilis,Bacteroides
DA679,Bacteroides_caccae,Bacteroides
DA816,Bacteroides_stercoris,Bacteroides
DA904,Bacteroides_faecichinchillae,Bacteroides
DA1209,Bacteroides_sartorii,Bacteroides
DA1247,Bacteroides_salyersiae,Bacteroides
DA1479,Bacteroides_intestinalis,Bacteroides
DA14,Bacteroides_xylanisolvens,Bacteroides
DA647,Bacteroides_clarus,Bacteroides
DA672,Parabacteroides_faecis,Parabacteroides
